iter	Passed	Remaining
407	4696	6814
408	4706	6800
409	4715	6786
410	4725	6771
411	4735	6758
412	4744	6743
413	4754	6729
414	4763	6714
415	4772	6700
416	4782	6686
417	4792	6672
418	4801	6658
419	4812	6646
420	4825	6635
421	4836	6624
422	4847	6612
423	4860	6603
424	4872	6592
425	4886	6584
426	4899	6574
427	4910	6562
428	4922	6551
429	4934	6540
430	4947	6531
431	4959	6521
432	4971	6510
433	4984	6500
434	4995	6488
435	5006	6476
436	5018	6465
437	5030	6454
438	5042	6443
439	5054	6432
440	5066	6422
441	5078	6411
442	5089	6399
443	5102	6389
444	5113	6377
445	5124	6365
446	5135	6353
447	5147	6342
448	5157	6329
449	5168	6317
450	5178	6304
451	5188	6290
452	5198	6276
453	5207	6262
454	5216	6248
455	5225	6234
456	5235	6221
457	5244	6206
458	5254	6192
459	5262	6178
460	5272	6165
461	5282	6151
462	5292	6138
463	5301	6124
464	5311	6111
465	5320	6097
466	5329	6083
467	5339	6069
468	5349	6056
469	5358	6042
470	5368	6029
471	5377	6015
472	5386	6001
473	5395	5987
474	5405	5974
475	5414	5960
476	5423	5947
477	5433	5934
478	5443	5920
479	5454	5908
480	5464	5895
481	5474	5882
482	5484	5871
483	5495	5859
484	5507	5847
485	5517	5835
486	5532	5827
487	5543	5815
488	5553	5803
489	5564	5791
490	5575	5779
491	5586	5768
492	5596	5755
493	5608	5745
494	5619	5733
495	5630	5720
496	5640	5708
497	5651	5696
498	5662	5685
499	5673	5673
500	5684	5661
501	5695	5649
502	5706	5638
503	5717	5626
504	5727	5613
505	5735	5599
506	5745	5586
507	5754	5573
508	5763	5559
509	5772	5546
510	5781	5532
511	5791	5519
512	5800	5506
513	5810	5493
514	5819	5480
515	5829	5468
516	5841	5457
517	5851	5444
518	5861	5432
519	5870	5418
520	5880	5406
521	5890	5394
522	5901	5382
523	5913	5372
524	5923	5359
525	5934	5347
526	5944	5335
527	5954	5323
528	5964	5310
529	5974	5298
530	5984	5285
531	5993	5272
532	6003	5260
533	6013	5247
534	6023	5235
535	6032	5222
536	6043	5210
537	6054	5199
538	6064	5186
539	6074	5174
540	6083	5161
541	6093	5149
542	6103	5136
543	6112	5124
544	6122	5111
545	6132	5098
546	6142	5086
547	6151	5073
548	6162	5062
549	6172	5049
550	6182	5037
551	6192	5025
552	6202	5013
553	6212	5001
554	6222	4989
555	6231	4976
556	6241	4963
557	6251	4951
558	6261	4939
559	6270	4927
560	6280	4915
561	6291	4903
562	6301	4891
563	6311	4879
564	6321	4867
565	6331	4855
566	6342	4843
567	6351	4830
568	6360	4818
569	6370	4806
570	6380	4793
571	6389	4781
572	6399	4769
573	6409	4757
574	6420	4745
575	6430	4733
576	6440	4721
577	6450	4709
578	6460	4697
579	6470	4685
580	6479	4672
581	6489	4660
582	6498	4648
583	6508	4636
584	6519	4624
585	6529	4612
586	6539	4601
587	6549	4589
588	6559	4577
589	6570	4565
590	6580	4553
591	6591	4542
592	6601	4530
593	6610	4518
594	6619	4505
595	6629	4493
596	6638	4481
597	6648	4469
598	6658	4457
599	6668	4445
600	6678	4433
601	6688	4421
602	6697	4409
603	6707	4397
604	6716	4385
605	6726	4373
606	6735	4361
607	6745	4348
608	6754	4336
609	6765	4325
610	6774	4313
611	6784	4301
612	6793	4289
613	6802	4276
614	6812	4264
615	6823	4253
616	6832	4241
617	6841	4228
618	6851	4217
619	6861	4205
620	6873	4195
621	6883	4183
622	6893	4171
623	6902	4159
624	6912	4147
625	6921	4135
626	6931	4123
627	6941	4111
628	6951	4100
629	6961	4088
630	6970	4076
631	6979	4063
632	6988	4051
633	6997	4039
634	7007	4027
635	7016	4015
636	7025	4003
637	7034	3991
638	7044	3979
639	7053	3967
640	7062	3955
641	7071	3943
642	7081	3931
643	7090	3919
644	7101	3908
645	7110	3896
646	7119	3884
647	7129	3872
648	7138	3860
649	7147	3848
650	7157	3837
651	7166	3825
652	7176	3813
653	7185	3801
654	7195	3789
655	7204	3777
656	7213	3766
657	7222	3754
658	7232	3742
659	7242	3731
660	7251	3719
661	7261	3707
662	7270	3695
663	7280	3684
664	7290	3672
665	7299	3660
666	7309	3649
667	7318	3637
668	7327	3625
669	7336	3613
670	7345	3601
671	7354	3589
672	7363	3577
673	7372	3565
674	7381	3554
675	7392	3543
676	7402	3531
677	7411	3520
678	7421	3508
679	7430	3496
680	7439	3485
681	7449	3473
682	7458	3461
683	7467	3449
684	7476	3438
685	7485	3426
686	7495	3414
687	7503	3402
688	7513	3391
689	7522	3379
690	7531	3368
691	7541	3356
692	7550	3344
693	7559	3333
694	7568	3321
695	7577	3309
696	7586	3297
697	7595	3286
698	7603	3274
699	7612	3262
700	7621	3251
701	7630	3239
702	7640	3227
703	7652	3217
704	7664	3207
705	7672	3195
706	7681	3183
707	7693	3173
708	7702	3161
709	7711	3149
710	7720	3138
711	7729	3126
712	7738	3114
713	7747	3103
714	7756	3091
715	7764	3079
716	7773	3068
717	7782	3056
718	7793	3045
719	7802	3034
720	7811	3022
721	7820	3011
722	7829	2999
723	7838	2988
724	7851	2978
725	7860	2966
726	7869	2955
727	7879	2943
728	7888	2932
729	7898	2921
730	7907	2909
731	7915	2898
732	7924	2886
733	7933	2875
734	7942	2863
735	7951	2852
736	7960	2840
737	7972	2830
738	7982	2819
739	7992	2808
740	8001	2796
741	8010	2785
742	8020	2774
743	8030	2763
744	8040	2752
745	8049	2740
746	8059	2729
747	8068	2718
748	8077	2707
749	8086	2695
750	8095	2684
751	8104	2672
752	8113	2661
753	8122	2650
754	8131	2638
755	8140	2627
756	8150	2616
757	8159	2604
758	8168	2593
759	8177	2582
760	8186	2571
761	8196	2560
762	8206	2548
763	8215	2537
764	8225	2526
765	8234	2515
766	8243	2504
767	8254	2493
768	8263	2482
769	8272	2471
770	8281	2459
771	8289	2448
772	8298	2437
773	8307	2425
774	8317	2414
775	8326	2403
776	8335	2392
777	8344	2381
778	8353	2369
779	8362	2358
780	8371	2347
781	8380	2336
782	8389	2324
783	8398	2313
784	8408	2302
785	8417	2291
786	8426	2280
787	8436	2269
788	8445	2258
789	8454	2247
790	8463	2236
791	8472	2225
792	8482	2214
793	8491	2203
794	8501	2192
795	8510	2181
796	8519	2170
797	8528	2158
798	8538	2147
799	8547	2136
800	8556	2125
801	8565	2114
802	8574	2103
803	8583	2092
804	8592	2081
805	8600	2070
806	8609	2059
807	8618	2047
808	8626	2036
809	8635	2025
810	8644	2014
811	8653	2003
812	8662	1992
813	8670	1981
814	8678	1970
815	8687	1958
816	8696	1947
817	8705	1936
818	8714	1925
819	8722	1914
820	8731	1903
821	8740	1892
822	8749	1881
823	8760	1871
824	8769	1860
825	8778	1849
826	8786	1838
827	8794	1826
828	8803	1816
829	8814	1805
830	8825	1794
831	8834	1783
832	8843	1772
833	8854	1762
834	8864	1751
835	8873	1740
836	8882	1729
837	8890	1718
838	8898	1707
839	8907	1696
840	8916	1685
841	8925	1674
842	8935	1664
843	8944	1653
844	8953	1642
845	8962	1631
846	8971	1620
847	8980	1609
848	8988	1598
849	8997	1587
850	9006	1576
851	9014	1565
852	9023	1555
853	9031	1544
854	9040	1533
855	9048	1522
856	9057	1511
857	9066	1500
858	9075	1489
859	9084	1478
860	9092	1467
861	9101	1457
862	9109	1446
863	9118	1435
864	9127	1424
865	9135	1413
866	9144	1402
867	9152	1391
868	9161	1381
869	9169	1370
870	9178	1359
871	9190	1349
872	9198	1338
873	9206	1327
874	9215	1316
875	9223	1305
876	9231	1294
877	9240	1283
878	9248	1273
879	9257	1262
880	9267	1251
881	9275	1240
882	9284	1230
883	9292	1219
884	9300	1208
885	9308	1197
886	9317	1186
887	9325	1176
888	9334	1165
889	9343	1154
890	9351	1144
891	9359	1133
892	9367	1122
893	9376	1111
894	9385	1101
895	9393	1090
896	9401	1079
897	9410	1068
898	9418	1058
899	9426	1047
900	9435	1036
901	9443	1026
902	9452	1015
903	9460	1004
904	9469	994
905	9478	983
906	9486	972
907	9495	962
908	9503	951
909	9511	940
910	9520	930
911	9528	919
912	9537	908
913	9546	898
914	9554	887
915	9563	877
916	9572	866
917	9581	855
918	9590	845
919	9598	834
920	9607	824
921	9615	813
922	9627	803
923	9636	792
924	9644	781
925	9652	771
926	9661	760
927	9669	750
928	9678	739
929	9687	729
930	9695	718
931	9704	708
932	9713	697
933	9722	687
934	9733	676
935	9742	666
936	9750	655
937	9759	645
938	9767	634
939	9776	624
940	9784	613
941	9793	602
942	9801	592
943	9810	581
944	9818	571
945	9826	560
946	9835	550
947	9843	539
948	9852	529
949	9861	519
950	9873	508
951	9881	498
952	9889	487
953	9898	477
954	9907	466
955	9916	456
956	9925	445
957	9933	435
958	9942	425
959	9950	414
960	9959	404
961	9967	393
962	9976	383
963	9985	372
964	9994	362
965	10003	352
966	10012	341
967	10020	331
968	10028	320
969	10037	310
970	10047	300
971	10056	289
972	10065	279
973	10074	268
974	10083	258
975	10092	248
976	10101	237
977	10111	227
978	10120	217
979	10129	206
980	10138	196
981	10148	186
982	10157	175
983	10166	165
984	10175	154
985	10184	144
986	10194	134
987	10203	123
988	10213	113
989	10222	103
990	10231	92
991	10240	82
992	10249	72
993	10258	61
994	10267	51
995	10276	41
996	10285	30
997	10294	20
998	10304	10
999	10313	0
