iter	Logloss
0	0.6173507475
1	0.5558507971
2	0.494878482
3	0.4401865596
4	0.4100446859
5	0.3746494291
6	0.3484314372
7	0.3189685171
8	0.3031709808
9	0.2913445227
10	0.2752499721
11	0.2542538611
12	0.2421300661
13	0.2262334431
14	0.214654769
15	0.204963797
16	0.1953659336
17	0.1892493008
18	0.1779212714
19	0.1717476601
20	0.1637609077
21	0.1522579062
22	0.1429922805
23	0.1365569153
24	0.1307521516
25	0.1264643665
26	0.1210463763
27	0.1145906345
28	0.1105339897
29	0.1070833463
30	0.1031020818
31	0.09829956715
32	0.09309495199
33	0.09076085671
34	0.0848924176
35	0.08278602978
36	0.08118365186
37	0.07800840845
38	0.07451506447
39	0.07230475775
40	0.06832803349
41	0.06571518163
42	0.06382077247
43	0.06171003854
44	0.0596473258
45	0.05640897881
46	0.05341977363
47	0.05201304328
48	0.04977701948
49	0.04807811775
50	0.04654048391
51	0.04557686738
52	0.04359912909
53	0.04157298517
54	0.04004415932
55	0.03866389606
56	0.03692241924
57	0.03536878881
58	0.03398829171
59	0.03293664509
60	0.0320138011
61	0.03115127317
62	0.03017420598
63	0.02908386269
64	0.0284527381
65	0.02726681233
66	0.02641163372
67	0.02549661752
68	0.0249956492
69	0.02425038893
70	0.02315399067
71	0.02279142452
72	0.02234497988
73	0.02159381156
74	0.02097163424
75	0.02040471713
76	0.01955755689
77	0.01903080524
78	0.01839517599
79	0.01797287627
80	0.01736365415
81	0.01709755277
82	0.01691092517
83	0.01644765276
84	0.01599335567
85	0.01562601792
86	0.01526237262
87	0.0149763375
88	0.01453354724
89	0.01429424283
90	0.01390467127
91	0.01362490148
92	0.01343318638
93	0.01312394678
94	0.01292729318
95	0.01243040869
96	0.01195382421
97	0.01152997457
98	0.0111995698
99	0.01101970359
100	0.01080507372
101	0.01063897549
102	0.01040804467
103	0.01019820158
104	0.009824642858
105	0.00956884339
106	0.009402871393
107	0.009325146631
108	0.009284229618
109	0.009175069824
110	0.00902429424
111	0.008871015457
112	0.008632333306
113	0.008375323695
114	0.008362741519
115	0.00804718948
116	0.007829264177
117	0.007605935838
118	0.007592939625
119	0.007324844979
120	0.007310204883
121	0.007292071427
122	0.007210111668
123	0.007071927693
124	0.00693066273
125	0.006836232296
126	0.006640264541
127	0.006540121565
128	0.006317440684
129	0.006213638036
130	0.006112623331
131	0.00611259382
132	0.006112576915
133	0.006112550524
134	0.006112543809
135	0.006112544832
136	0.006112544268
137	0.006112468538
138	0.00611245323
139	0.0061124286
140	0.006112411321
141	0.006112385553
142	0.006112355264
143	0.006112339469
144	0.006112337764
145	0.006112323214
146	0.006112291292
147	0.00611227626
148	0.006112261531
149	0.006112235703
150	0.006112200874
151	0.006112200874
152	0.006112175182
153	0.006112162997
154	0.006112151454
155	0.006112120521
156	0.006112091677
157	0.006112091677
158	0.006112064431
159	0.006103038652
160	0.005985396788
161	0.005880300078
162	0.005803124736
163	0.005694133762
164	0.00562043396
165	0.005543927477
166	0.005450761889
167	0.005358380115
168	0.005358324261
169	0.005349710748
170	0.005276165349
171	0.005189445788
172	0.005189390503
173	0.00511477179
174	0.005114725626
175	0.00511442522
176	0.005114420623
177	0.005104823529
178	0.005104772135
179	0.004999402296
180	0.004999393538
181	0.004824570623
182	0.004824520281
183	0.004766743146
184	0.00476673213
185	0.004766707737
186	0.00476644788
187	0.004766408697
188	0.004766318895
189	0.004766279847
190	0.004766236565
191	0.004766232283
192	0.004674940406
193	0.004674779981
194	0.00462567617
195	0.004625657393
196	0.004622371218
197	0.004622364548
198	0.004515097912
199	0.004509162782
200	0.00450915166
201	0.00450914188
202	0.004393253199
203	0.004393247408
204	0.00432134629
205	0.004321338427
206	0.004321333984
207	0.004315917818
208	0.004211034795
209	0.004211027333
210	0.004203861471
211	0.004173987567
212	0.004173974583
213	0.004120651583
214	0.004120641292
215	0.00403403165
216	0.003974320698
217	0.00397430491
218	0.003974294972
219	0.003974277018
220	0.003974266166
221	0.003974253023
222	0.003974238572
223	0.003974216046
224	0.003974210552
